artist,title,cosine_sim,in_country
Loren Allred,Never Enough,0.021472585997522414,0
Yo Gotti,Juice,0.02152965604044952,0
Jennifer Lopez,I Luh Ya Papi,0.021550505483852782,0
Prince And The Revolution,Purple Rain,0.02156325708764677,0
Rich The Kid,Plug Walk,0.02157457306958288,0
KIDS SEE GHOSTS,Freeee Ghost Town pt 2,0.021612080247594683,0
Avril Lavigne,Head Above Water,0.021713718608671165,0
Sam Smith,Im Not The Only One,0.021717817411302874,0
Lil Xan,Betrayed,0.02173555233688694,0
Alessia Cara,Growing Pains,0.021745487979567463,0
Steve Aoki,Waste It On Me,0.021760431939525943,0
The Weeknd,Hurt You,0.02176094430741775,0
Bandit Gang Marco,Nasty,0.02177148056967197,0
A Boogie Wit da Hoodie,Drowning,0.021776346867240726,0
Katy Tiz,The Big Bang,0.021798462947832154,0
Flo Rida,"I Dont Like It, I Love It",0.02181229594936389,0
Lin Manuel Miranda,Almost Like Praying,0.021818299485668408,0
Ty Dolla sign,Or Nah,0.02183094462529176,0
LunchMoney Lewis,Bills,0.021854233772531675,0
Billie Eilish,When The Partys Over,0.02186217453171822,0
DJ Khaled,Do You Mind,0.021923842332340113,0
Jamie N Commons,Jungle,0.02192950016222274,0
Troye Sivan,Youth,0.021946911639144032,0
Drake,Dont Matter To Me,0.02200436774657507,0
HER,Focus,0.022006210160904975,0
Tori Kelly,Hollow,0.02201607455743647,0
Julia Michaels,Issues,0.022049661438011542,0
Andy Williams,Its The Most Wonderful Time Of The Year,0.022078414901940912,0
Rihanna,American Oxygen,0.02211475771083727,0
Shakira,Empire,0.022196631924183367,0
Hailee Steinfeld and Grey,Starving,0.022198747967712176,0
OG Maco,U Guessed It,0.022290211412496076,0
RagnBone Man,Human,0.022291978745868538,0
The Weeknd,I Was Never There,0.022301028835582267,0
"Steve Aoki, Chris Lake and Tujamo",Delirious Boneless,0.0223074074270984,0
Silk City and Dua Lipa,Electricity,0.022308704612139275,0
Beyonce,Formation,0.022319385058137974,0
Echosmith,Cool Kids,0.02233565465182751,0
The Weeknd,Try Me,0.022336815592305895,0
Lil Uzi Vert,Two,0.02235630477350295,0
Pitbull,We Are One  Ole Ola,0.022363257520343342,0
R City,Locked Away,0.022373592123734395,0
Zendaya,Something New,0.02237927272814037,0
Lil Yachty,Peek A Boo,0.022380691730364465,0
Sia,Cheap Thrills,0.02238877380508027,0
